F/MHz,S11 (dB),S11 (deg),S21 (dB),S21 (deg),S22 (dB),S22 (deg)
94.15,-33.56631819,-156.7919274,-0.465435009,-300.7829143,-33.50799622,-112.8197057
94.645,-33.5299346,-160.0810961,-0.467272164,-302.3521391,-33.59921874,-114.1350972
95.14,-33.39180354,-163.7981281,-0.468661973,-303.9269136,-33.53635613,-115.1584726
95.635,-33.41039917,-166.7794548,-0.47079164,-305.5024565,-33.70149162,-116.3496597
96.13,-33.37563061,-170.2385583,-0.471604272,-307.0763318,-33.75273455,-117.0600569
96.625,-33.35072899,-173.6264624,-0.472754024,-308.6485073,-33.94473811,-118.2350289
97.12,-33.33845172,-176.7530841,-0.47448692,-310.223396,-33.99304958,-119.5204424
97.615,-33.30725036,-179.8793697,-0.476245634,-311.7932336,-34.11863857,-119.2080247
98.11,-33.30269894,176.8626798,-0.47691042,-313.3681881,-34.26037772,-120.1892284
98.605,-33.28744882,173.2974444,-0.479003948,-314.937769,-34.36017773,-121.6842844
99.1,-33.22692609,170.2871634,-0.480206063,-316.5157848,-34.4091406,-122.8015196
99.595,-33.13998461,166.6153269,-0.481584754,-318.0814958,-34.6262611,-122.9081516
100.09,-33.165615,163.6324876,-0.483359237,-319.6605039,-34.75163295,-124.0131532
100.585,-33.11580741,160.367282,-0.484593748,-321.2291353,-35.0771246,-124.5020402
101.08,-33.15706416,156.7729836,-0.486150597,-322.8014367,-35.13039152,-126.0624791
101.575,-33.09946874,153.4722636,-0.487220671,-324.3772825,-35.39155766,-125.7621939
102.07,-33.05779235,150.2388616,-0.488586339,-325.9492809,-35.43713367,-127.7387127
102.565,-33.06323712,146.5823695,-0.489505331,-327.5233825,-35.59598118,-127.7935659
103.06,-32.98019598,143.4559971,-0.490130112,-329.0950557,-35.81753897,-127.4544823
103.555,-32.98099136,139.9340799,-0.492737744,-330.6582504,-36.01037303,-127.637591
104.05,-32.96119429,136.7725758,-0.492984974,-332.238809,-36.14287554,-129.3388882
104.545,-32.92749733,133.4051809,-0.495495366,-333.8102679,-36.32969957,-129.249282
105.04,-32.82306652,130.3197428,-0.496447557,-335.3819406,-36.54529774,-129.3603639
105.535,-32.89522251,127.0099189,-0.498836093,-336.9504991,-36.9640701,-128.5301039
106.03,-32.78211923,123.5654935,-0.498590678,-338.5236709,-36.96186026,-129.8107716
106.525,-32.77989724,120.1586314,-0.500462044,-340.0924246,-37.23112143,-129.6487091
107.02,-32.71257768,116.8703699,-0.502249313,-341.6695144,-37.46507587,-129.8465237
107.515,-32.68203023,113.2930718,-0.502432292,-343.2376474,-37.35816852,-129.1626648
108.01,-32.67823038,109.9289476,-0.503708201,-344.8170579,-37.87022342,-130.7126586
108.505,-32.58934903,106.5290287,-0.505271777,-346.3886657,-37.98219511,-129.3997727
109,-32.57275181,103.7277867,-0.506850892,-347.9588128,-38.31641669,-128.3025844
